4999,3077.000
4990,2823.000
4998,2500.000
4991,2258.000
4997,1800.000
4996,1786.000
4975,1776.000
4979,1684.000
4992,1500.000
2315,1480.000
4993,1449.000
4924,1356.000
4836,1265.000
4972,1260.000
3930,1235.000
4589,1168.000
4785,1105.000
4075,1101.000
4976,1055.000
4671,1045.000
4988,1024.000
3454,989.000
3902,984.000
4983,981.000
4959,980.000
3024,966.000
4898,955.000
4985,948.000
4968,875.000
4977,873.000
4973,840.000
4955,834.000
3480,829.000
2323,824.000
4964,810.000
4934,798.000
4987,770.000
2395,763.000
3967,742.000
4946,740.000
4958,736.000
4961,714.000
4960,692.000
4994,690.000
3789,660.000
4956,660.000
4954,649.000
2515,621.000
4775,615.000
4753,612.000
4986,608.000
2541,606.000
4761,600.000
4873,600.000
4929,595.000
4947,570.000
4904,565.000
4951,555.000
4796,546.000
4746,511.000
4833,492.000
4900,492.000
4938,492.000
3059,487.000
4860,483.000
4927,475.000
3847,457.000
4942,456.000
4813,455.000
4978,455.000
4583,448.000
4861,444.000
4874,438.000
4974,432.000
4681,423.000
2633,414.000
4618,410.000
4805,406.000
4866,399.000
4885,399.000
4568,396.000
4919,395.000
1359,390.000
4982,386.000
4744,378.000
4880,378.000
4965,369.000
4763,368.000
4550,364.000
1436,362.000
2418,354.000
4937,352.000
4760,351.000
4554,350.000
4801,344.000
4970,344.000
4886,343.000
4768,325.000
4909,322.000
4864,312.000
